coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
8.040000e+01	113	138	118
8.050000e+01	140	114	123
8.060000e+01	113	132	119
8.070000e+01	144	115	130
8.080000e+01	113	138	120
8.090000e+01	142	115	128
81	113	135	122
8.110000e+01	145	114	123
8.120000e+01	113	138	123
8.130000e+01	132	116	136
8.140000e+01	113	137	118
8.150000e+01	151	114	130
8.160000e+01	113	134	119
8.170000e+01	141	113	136
8.180000e+01	113	133	114
8.190000e+01	137	116	128
82	113	143	123
8.210000e+01	134	114	136
8.220000e+01	113	138	122
8.230000e+01	143	117	133
8.240000e+01	113	135	117
8.250000e+01	139	113	127
8.260000e+01	113	136	116
8.270000e+01	144	116	126
8.280000e+01	113	153	124
8.290000e+01	139	116	127
83	113	145	120
8.310000e+01	143	114	128
8.320000e+01	113	138	118
8.330000e+01	139	116	128
8.340000e+01	113	143	119
8.350000e+01	147	115	128
8.360000e+01	113	149	119
8.370000e+01	140	116	123
8.380000e+01	113	136	124
8.390000e+01	153	114	129
84	113	140	119
8.410000e+01	155	117	131
8.420000e+01	113	139	122
8.430000e+01	144	116	131
8.440000e+01	113	146	123
8.450000e+01	140	115	121
8.460000e+01	113	139	119
8.470000e+01	146	115	127
8.480000e+01	113	141	121
8.490000e+01	143	116	128
85	113	141	124
8.510000e+01	135	115	130
8.520000e+01	113	130	125
8.530000e+01	151	114	127
8.540000e+01	113	137	130
8.550000e+01	148	114	130
8.560000e+01	113	130	119
8.570000e+01	147	115	122
8.580000e+01	113	141	119
8.590000e+01	145	114	141
86	113	144	121
8.610000e+01	142	113	125
8.620000e+01	113	147	121
8.630000e+01	145	115	130
8.640000e+01	113	141	116
8.650000e+01	153	114	124
8.660000e+01	113	145	121
8.670000e+01	139	113	127
8.680000e+01	113	146	120
8.690000e+01	152	115	125
87	113	139	121
8.710000e+01	136	114	121
8.720000e+01	113	141	121
8.730000e+01	149	116	131
8.740000e+01	113	134	121
8.750000e+01	144	114	128
8.760000e+01	113	134	120
8.770000e+01	148	114	125
8.780000e+01	113	136	124
8.790000e+01	141	114	127
88	113	134	119
8.810000e+01	149	115	124
8.820000e+01	113	139	119
8.830000e+01	142	114	134
8.840000e+01	113	135	118
8.850000e+01	147	115	125
8.860000e+01	113	134	119
8.870000e+01	144	116	127
8.880000e+01	113	143	118
8.890000e+01	142	116	131
89	113	146	121
8.910000e+01	149	114	130
8.920000e+01	113	137	125
8.930000e+01	156	114	125
8.940000e+01	113	133	122
8.950000e+01	146	114	125
8.960000e+01	113	136	120
8.970000e+01	141	115	124
8.980000e+01	113	144	123
8.990000e+01	148	115	132
90	113	142	116
9.010000e+01	148	115	129
9.020000e+01	113	131	121
9.030000e+01	143	116	122
9.040000e+01	113	129	119
9.050000e+01	149	114	126
9.060000e+01	113	147	119
9.070000e+01	144	118	128
9.080000e+01	113	138	123
9.090000e+01	138	117	129
91	113	141	124
9.110000e+01	150	114	135
9.120000e+01	113	140	118
