time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
9.462750e+00	93	1.039003e+04	9.681417e+03	8.366266e+02	1.024752e+03	1.649186e+02	5.289865e+01	9.564500e+00	94	3.554208e+02	1.224976e+01	7.370501e+03	8.116522e+03	2.444996e+02	3.142081e+02	9.462750e+00	93	1.363575e-01	1.720050e-01	9.462750e+00	93	4.542811e-01	4.317745e-01	
9.666250e+00	95	1.025403e+04	9.681417e+03	6.005266e+02	1.024752e+03	1.499186e+02	5.289865e+01	9.768000e+00	96	1.554208e+02	1.224976e+01	8.651501e+03	8.116522e+03	3.084996e+02	3.142081e+02	9.666250e+00	95	1.030049e-01	1.720050e-01	9.666250e+00	95	4.025859e-01	4.317745e-01	
9.869750e+00	97	1.027403e+04	9.681417e+03	6.315666e+02	1.024752e+03	-1.308135e+01	5.289865e+01	9.971500e+00	98	5.242076e+01	1.224976e+01	8.529501e+03	8.116522e+03	1.004996e+02	3.142081e+02	9.869750e+00	97	1.075681e-01	1.720050e-01	9.869750e+00	97	4.077073e-01	4.317745e-01	
1.007325e+01	99	9.016026e+03	9.681417e+03	8.682866e+02	1.024752e+03	-3.108135e+01	5.289865e+01	1.017500e+01	100	-8.657924e+01	1.224976e+01	8.046501e+03	8.116522e+03	2.464996e+02	3.142081e+02	1.007325e+01	99	1.588389e-01	1.720050e-01	1.007325e+01	99	4.045346e-01	4.317745e-01	
1.027675e+01	101	9.795026e+03	9.681417e+03	9.363566e+02	1.024752e+03	-5.081351e+00	5.289865e+01	1.037850e+01	102	-6.257924e+01	1.224976e+01	8.616501e+03	8.116522e+03	1.594996e+02	3.142081e+02	1.027675e+01	101	1.578532e-01	1.720050e-01	1.027675e+01	101	4.077323e-01	4.317745e-01	
1.048025e+01	103	1.086003e+04	9.681417e+03	3.980866e+02	1.024752e+03	6.691865e+01	5.289865e+01	1.058200e+01	104	1.204208e+02	1.224976e+01	8.402501e+03	8.116522e+03	2.254996e+02	3.142081e+02	1.048025e+01	103	6.705520e-02	1.720050e-01	1.048025e+01	103	4.140189e-01	4.317745e-01	
1.068375e+01	105	1.068203e+04	9.681417e+03	1.203527e+03	1.024752e+03	2.109186e+02	5.289865e+01	1.078550e+01	106	-1.157924e+01	1.224976e+01	8.653501e+03	8.116522e+03	1.304996e+02	3.142081e+02	1.068375e+01	105	1.809444e-01	1.720050e-01	1.068375e+01	105	4.345913e-01	4.317745e-01	
1.088725e+01	107	1.041303e+04	9.681417e+03	6.492366e+02	1.024752e+03	5.591865e+01	5.289865e+01	1.098900e+01	108	1.274208e+02	1.224976e+01	7.959501e+03	8.116522e+03	2.444996e+02	3.142081e+02	1.088725e+01	107	1.089345e-01	1.720050e-01	1.088725e+01	107	4.281713e-01	4.317745e-01	
1.109075e+01	109	6.529026e+03	9.681417e+03	6.444766e+02	1.024752e+03	1.791865e+01	5.289865e+01	1.119250e+01	110	-2.615792e+02	1.224976e+01	8.791501e+03	8.116522e+03	1.024996e+02	3.142081e+02	1.109075e+01	109	1.621619e-01	1.720050e-01	1.109075e+01	109	3.113229e-01	4.317745e-01	
1.129425e+01	111	9.498026e+03	9.681417e+03	9.474266e+02	1.024752e+03	-9.808135e+01	5.289865e+01	1.139600e+01	112	-2.745792e+02	1.224976e+01	7.852501e+03	8.116522e+03	2.044996e+02	3.142081e+02	1.129425e+01	111	1.635914e-01	1.720050e-01	1.129425e+01	111	4.244689e-01	4.317745e-01	
